,,,,,,,,,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,,
Document #,Date,Customer,Invoice due,SKU,Product,Product additional attribute 1,Currency,Sales representative,Quantity,Amount,Tax,Total,Base currency total,Base currency tax,Base currency amount,TYPE,Lamp
CN-15650,25-Sep-23,Rickys Restaurant,,SA-CO2C-5-M-BR-001,DIFFUSER COOEE 2C BRASS,,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15650,25-Sep-23,Rickys Restaurant,,SA-CO2C-5-M-CP-001,DIFFUSER COOEE 2C COPPER,,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15650,25-Sep-23,Rickys Restaurant,,SA-CO2C-5-M-SB-001,DIFFUSER COOEE 2C SANDBLASTED BRONZE,,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15650,25-Sep-23,Rickys Restaurant,,SA-CO2C-5-M-SL-001,DIFFUSER COOEE 2C  SILVER,,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15651,22-Sep-23,Sparkle Films ,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Bim Blake,-1,-64.60,-6.46,-71.06,-71.06,-6.46,-64.60,Other,Non - Lamp
CN-15652,26-Sep-23,Alexander Pollock,,CCO3CUSL,LAMP COOEE 3C SILVER UNO,CL035UA,AUD,Mandy Bishop,-1,-223.00,-22.30,-245.30,-245.30,-22.30,-223.00,Finished Goods,Lamp
CN-15652,26-Sep-23,Alexander Pollock,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mandy Bishop,-1,-38.00,-3.80,-41.80,-41.80,-3.80,-38.00,Other,Non - Lamp
CN-15653,27-Sep-23,Anyday,,C202,BASE STATION + 15W CHARGER,C202,AUD,Andy Elysee,-3,-156.00,-15.60,-171.60,-171.60,-15.60,-156.00,Finished Goods,Non - Lamp
CN-15653,27-Sep-23,Anyday,,CCO1CUSBK,LAMP COOEE 1C SANDBLASTED BLACK UNO,CL031UBK,AUD,Andy Elysee,-3,-669.00,-66.90,-735.90,-735.90,-66.90,-669.00,Finished Goods,Lamp
CN-15653,27-Sep-23,Anyday,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Andy Elysee,-1,-36.56,-3.66,-40.22,-40.22,-3.66,-36.56,Other,Non - Lamp
CN-15654,03-Oct-23,Moonich GmbH,,CTPUAB,LAMP TALL POPPY SATIN BRONZE,CL038UBZ,AUD,Mandy Bishop,-2,-618.00,0.00,-618.00,-618.00,0.00,-618.00,Finished Goods,Lamp
CN-15654,03-Oct-23,Moonich GmbH,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,-167.00,0.00,-167.00,-167.00,0.00,-167.00,Freight,Non - Lamp
CN-15654,03-Oct-23,Moonich GmbH,,SA-MG-5-CL-01,MARGARITA DIFFUSER SUB ASSEMBLY,,AUD,Mandy Bishop,-1,-57.60,0.00,-57.60,-57.60,0.00,-57.60,Sub Assembly,Non - Lamp
CN-15655,05-Oct-23,Four Seasons Resort Bora Bora,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,-78.00,0.00,-78.00,-78.00,0.00,-78.00,Freight,Non - Lamp
CN-15655,05-Oct-23,Four Seasons Resort Bora Bora,,SA-BL-4-G-002,AMBER GLASS SHADE FOR BELLINGEN/VICTORIA BRASS SUB ASSEMBLY,,AUD,Mandy Bishop,-2,-145.20,0.00,-145.20,-145.20,0.00,-145.20,Sub Assembly,Non - Lamp
