,,,,,,,,,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,,
Document #,Date,Customer,Invoice due,SKU,Product,Product additional attribute 1,Currency,Sales representative,Quantity,Amount,Tax,Total,Base currency total,Base currency tax,Base currency amount,TYPE,Lamp
CN-15655,05-Oct-23,Four Seasons Resort Bora Bora,,SA-BL-4-G-003,GREEN GLASS SHADE FOR BELLINGEN/VICTORIA SUB ASSEMBLY,,AUD,Mandy Bishop,-1,-72.60,0.00,-72.60,-72.60,0.00,-72.60,Sub Assembly,Non - Lamp
CN-15656,06-Oct-23,GreenChance Inc.,,C203-US,TRAY MOULDED 12 W/US PLUG (TYPE A),C203,USD,Andy Elysee,-3,-907.10,0.00,-907.10,"-1,408.10",0.00,"-1,408.10",Finished Goods,Non - Lamp
CN-15656,06-Oct-23,GreenChance Inc.,,CMANAGUBR,LAMP MANHATTAN BRASS UNLACQUERED + AMBER GLASS SHADE UNO,CMANAGUBR,USD,Andy Elysee,-12,"-3,536.85",0.00,"-3,536.85","-5,490.29",0.00,"-5,490.29",Finished Goods,Lamp
CN-15656,06-Oct-23,GreenChance Inc.,,CMANPUBR,LAMP MANHATTAN BRASS UNLACQUERED PLEATED SILK SHADE UNO,CMANPUBR,USD,Andy Elysee,-24,"-7,073.70",0.00,"-7,073.70","-10,980.58",0.00,"-10,980.58",Finished Goods,Lamp
CN-15656,06-Oct-23,GreenChance Inc.,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Andy Elysee,-1,-649.23,0.00,-649.23,"-1,007.81",0.00,"-1,007.81",Freight,Non - Lamp
CN-15657,09-Oct-23,"Scanproducts Co., Ltd.",,DISC,DISCOUNT,,AUD,Andy Elysee,-1,-678.59,0.00,-678.59,-678.59,0.00,-678.59,Service,Non - Lamp
CN-15658,10-Oct-23,Stanley Restaurant,,CCO3CUBR,LAMP COOEE 3C BRASS UNO,CL035UB,AUD,Andy Elysee,-20,"-4,058.60",-405.86,"-4,464.46","-4,464.46",-405.86,"-4,058.60",Finished Goods,Lamp
CN-15658,10-Oct-23,Stanley Restaurant,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Andy Elysee,-1,-49.00,-4.90,-53.90,-53.90,-4.90,-49.00,Other,Non - Lamp
CN-15659,12-Oct-23,Stanbroke,,CCO1CUBR,LAMP COOEE 1C BRASS UNO,CL031UB,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15659,12-Oct-23,Stanbroke,,CCO1CUCP,LAMP COOEE 1C COPPER UNO,CL031UC,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15659,12-Oct-23,Stanbroke,,CCO1CUSB,LAMP COOEE 1C SANDBLASTED BRONZE UNO,CL031UAB,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15659,12-Oct-23,Stanbroke,,CCO1CUSL,LAMP COOEE 1C SILVER UNO,CL031UA,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15660,23-Oct-23,Mandy Bishop,,C202,BASE STATION + 15W CHARGER,C202,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Non - Lamp
CN-15660,23-Oct-23,Mandy Bishop,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Parts,Non - Lamp
CN-15660,23-Oct-23,Mandy Bishop,,SP023SW,SPARE V4.5 Lamp Control Standard Only  - White Base,,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15661,23-Oct-23,Mandy Bishop,,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15663,27-Oct-23,Carre Lighting,,CVCPUBR,LAMP VICTORIA BRASS PLEATED SILK SHADE UNO,CL029US,USD,Andy Elysee,-4,"-1,048.28",0.00,"-1,048.28","-1,653.60",0.00,"-1,653.60",Finished Goods,Lamp
CN-15663,27-Oct-23,Carre Lighting,,DAP,"INTERNATIONAL AIR FREIGHT - (DAP) - Door to door Delivery (DHL) including packing, Insurance and Handling",,USD,Andy Elysee,-1,-299.92,0.00,-299.92,-473.11,0.00,-473.11,Freight,Non - Lamp
CN-15664,31-Oct-23,Deirdre Kelly,27-Sep-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,-1,-58.91,0.00,-58.91,-58.91,0.00,-58.91,Freight,Non - Lamp
CN-15664,31-Oct-23,Deirdre Kelly,27-Sep-2023,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mitch Kerr,-2,-57.20,0.00,-57.20,-57.20,0.00,-57.20,Parts,Non - Lamp
CN-15665,30-Oct-23,Kinn Collective,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Andy Elysee,-1,-169.00,0.00,-169.00,-169.00,0.00,-169.00,Freight,Non - Lamp
CN-15665,30-Oct-23,Kinn Collective,,P-APEX-4-P-004-11,PARTS APEX TUBE,,AUD,Andy Elysee,-2,-36.90,0.00,-36.90,-36.90,0.00,-36.90,Parts,Non - Lamp
CN-15665,30-Oct-23,Kinn Collective,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Andy Elysee,-100,"-1,680.00",0.00,"-1,680.00","-1,680.00",0.00,"-1,680.00",Parts,Non - Lamp
CN-15666,30-Oct-23,Kinn Collective,,C203-UK,TRAY MOULDED 12 W/UK PLUG (TYPE G),C203,AUD,Andy Elysee,-1,-532.00,0.00,-532.00,-532.00,0.00,-532.00,Finished Goods,Non - Lamp
CN-15666,30-Oct-23,Kinn Collective,,CVCUBR,LAMP VICTORIA BRASS NO SHADE UNO,,AUD,Andy Elysee,-12,"-4,572.00",0.00,"-4,572.00","-4,572.00",0.00,"-4,572.00",Finished Goods,Lamp
CN-15666,30-Oct-23,Kinn Collective,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Andy Elysee,-1,-410.93,0.00,-410.93,-410.93,0.00,-410.93,Freight,Non - Lamp
CN-15667,02-Nov-23,Anyday,,SVCPUAB,SET VICTORIA AGED BRASS PLEATED SILK SHADE UNO,C029,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15668,10-Nov-23,Lisa Wood,09-Nov-2023,REFUND,CURRENCY CONVERSION OVERPAYMENT REFUND,,AUD,Online (Shopify),-1,-65.45,-6.55,-72.00,-72.00,-6.55,-65.45,Other,Non - Lamp
CN-15669,13-Nov-23,Vert Design ,,C202,BASE STATION + 15W CHARGER,C202,AUD,Bim Blake,-2,-104.00,-10.40,-114.40,-114.40,-10.40,-104.00,Finished Goods,Non - Lamp
CN-15670,14-Nov-23,BlueRock Accounting (Testing Purposes),10-Nov-2023,BRD-TEST-ONLY,BRD Test Product,,AUD,Online,-3,-300.00,0.00,-300.00,-300.00,0.00,-300.00,Other,Non - Lamp
CN-15672,14-Nov-23,Test Mitch,14-Nov-2023,P-OWL-4-P-002,PARTS NUT FOR COOEE (discontinued),,AUD,Mitch Kerr,-1,-8.00,-0.80,-8.80,-8.80,-0.80,-8.00,Parts,Non - Lamp
CN-15673,16-Nov-23,Impression Projects,,C203-AU,TRAY MOULDED 12 W/AU PLUG (TYPE I),C203,AUD,Mandy Bishop,-1,-578.55,-57.86,-636.41,-636.41,-57.86,-578.55,Finished Goods,Non - Lamp
CN-15674,20-Nov-23,Barzura,,C203-AU,TRAY MOULDED 12 W/AU PLUG (TYPE I),C203,AUD,Andy Elysee,-2,"-1,096.20",-109.62,"-1,205.82","-1,205.82",-109.62,"-1,096.20",Finished Goods,Non - Lamp
CN-15674,20-Nov-23,Barzura,,CCO2CUBR,LAMP COOEE 2C BRASS UNO,CL033UB,AUD,Andy Elysee,-24,"-5,313.60",-531.36,"-5,844.96","-5,844.96",-531.36,"-5,313.60",Finished Goods,Lamp
CN-15674,20-Nov-23,Barzura,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Andy Elysee,-1,-61.20,-6.12,-67.32,-67.32,-6.12,-61.20,Other,Non - Lamp
CN-15675,23-Nov-23,Vibe Hotel Sydney Darling Harbour,,C206-AU,TROLLEY MEDIUM MOULDED 36 W/AU PLUG,C205,AUD,Bim Blake,-1,"-2,486.00",-248.60,"-2,734.60","-2,734.60",-248.60,"-2,486.00",Finished Goods,Non - Lamp
CN-15675,23-Nov-23,Vibe Hotel Sydney Darling Harbour,,CCO2CUBR,LAMP COOEE 2C BRASS UNO,CL033UB,AUD,Bim Blake,-36,"-8,856.00",-885.60,"-9,741.60","-9,741.60",-885.60,"-8,856.00",Finished Goods,Lamp
CN-15675,23-Nov-23,Vibe Hotel Sydney Darling Harbour,,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,AUD,Bim Blake,-1,-220.00,-22.00,-242.00,-242.00,-22.00,-220.00,Other,Non - Lamp
CN-15675,23-Nov-23,Vibe Hotel Sydney Darling Harbour,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Bim Blake,-1,-173.00,-17.30,-190.30,-190.30,-17.30,-173.00,Other,Non - Lamp
CN-15675,23-Nov-23,Vibe Hotel Sydney Darling Harbour,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Bim Blake,-10,-192.00,-19.20,-211.20,-211.20,-19.20,-192.00,Parts,Non - Lamp
CN-15675,23-Nov-23,Vibe Hotel Sydney Darling Harbour,,SA-CO2C-7-BR-01,COOEE 2C BRASS TOP SUB ASSEMBLY,,AUD,Bim Blake,-10,-280.00,-28.00,-308.00,-308.00,-28.00,-280.00,Sub Assembly,Non - Lamp
CN-15676,27-Nov-23,GreenChance Inc.,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Andy Elysee,-1,-224.89,0.00,-224.89,-344.59,0.00,-344.59,Freight,Non - Lamp
CN-15676,27-Nov-23,GreenChance Inc.,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,USD,Andy Elysee,-30,-284.70,0.00,-284.70,-436.23,0.00,-436.23,Parts,Non - Lamp
CN-15676,27-Nov-23,GreenChance Inc.,,SA-BL-4-G-AB-003,GREEN GLASS SHADE FOR AGED BRASS VICTORIA SUB ASSEMBLY,,USD,Andy Elysee,-50,"-2,208.50",0.00,"-2,208.50","-3,384.00",0.00,"-3,384.00",Sub Assembly,Non - Lamp
CN-15677,27-Nov-23,Sunset Hospitality Group,,Freight,,,AUD,Bim Blake,-1,"-1,580.00",0.00,"-1,580.00","-1,580.00",0.00,"-1,580.00",Freight,Non - Lamp
CN-15677,27-Nov-23,Sunset Hospitality Group,,C206-EURO,TROLLEY MEDIUM MOULDED 36 W/EURO PLUG,C205,AUD,Bim Blake,-1,"-2,486.00",0.00,"-2,486.00","-2,486.00",0.00,"-2,486.00",Finished Goods,Non - Lamp
CN-15677,27-Nov-23,Sunset Hospitality Group,,CVCGGUBR,LAMP VICTORIA BRASS + GREEN GLASS SHADE UNO,CVCGGUBR,AUD,Bim Blake,-35,"-16,695.00",0.00,"-16,695.00","-16,695.00",0.00,"-16,695.00",Finished Goods,Lamp
CN-15677,27-Nov-23,Sunset Hospitality Group,,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,AUD,Bim Blake,-1,-220.00,0.00,-220.00,-220.00,0.00,-220.00,Other,Non - Lamp
CN-15678,27-Nov-23,Bajan Services Ltd,,CRPSL-NS,LAMP RITZ NICKLE PRO- NO SHADE,CL021U,USD,Bim Blake,-3,"-1,738.86",0.00,"-1,738.86","-2,652.14",0.00,"-2,652.14",Finished Goods,Lamp
CN-15678,27-Nov-23,Bajan Services Ltd,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Bim Blake,-1,-398.00,0.00,-398.00,-607.04,0.00,-607.04,Freight,Non - Lamp
CN-15678,27-Nov-23,Bajan Services Ltd,,P-R-4-F-003-CUS,PARTS RITZ LAMP SHADE COTTON CUSTOMIZED ,,USD,Bim Blake,-5,-500.00,0.00,-500.00,-762.61,0.00,-762.61,Parts,Non - Lamp
CN-15678,27-Nov-23,Bajan Services Ltd,,P-UNI-9-F-001,4 LAMP CARRY BAG,,USD,Bim Blake,-1,0.00,0.00,0.00,0.00,0.00,0.00,Packaging,Non - Lamp
CN-15679,27-Nov-23,Proffetional Group,,C204-UK,TROLLEY SMALL MOULDED 24 W/UK PLUG,C203,USD,Bim Blake,-1,"-1,259.98",0.00,"-1,259.98","-1,977.26",0.00,"-1,977.26",Finished Goods,Non - Lamp
CN-15679,27-Nov-23,Proffetional Group,,CBLWT,LAMP BELLINGEN WINTER UNO,CBLWT,USD,Bim Blake,-24,"-8,251.92",0.00,"-8,251.92","-12,949.57",0.00,"-12,949.57",Finished Goods,Lamp
CN-15679,27-Nov-23,Proffetional Group,,DAP,"INTERNATIONAL AIR FREIGHT - (DAP) - Door to door Delivery (DHL) including packing, Insurance and Handling",,USD,Bim Blake,-1,-642.62,0.00,-642.62,"-1,008.45",0.00,"-1,008.45",Freight,Non - Lamp
CN-15679,27-Nov-23,Proffetional Group,,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,USD,Bim Blake,-1,-160.60,0.00,-160.60,-252.03,0.00,-252.03,Other,Non - Lamp
CN-15680,28-Nov-23,Louise King,27-Nov-2023,C207-AU,TRAY MOULDED 4 W/AU PLUG (TYPE I),C207,AUD,Online (Shopify),-2,-703.64,-70.36,-774.00,-774.00,-70.36,-703.64,Finished Goods,Non - Lamp
CN-15680,28-Nov-23,Louise King,27-Nov-2023,SGEMSPOP,SET GEM SQUARE OPAL PRO,,AUD,Online (Shopify),-6,"-1,903.64",-190.36,"-2,094.00","-2,094.00",-190.36,"-1,903.64",Finished Goods,Lamp
CN-15681,28-Nov-23,Gill Selig,,SEFOUOP,SET EGG FRITTED OPAL UNO,C018UO,AUD,Bim Blake,-2,-756.54,-75.65,-832.19,-832.19,-75.65,-756.54,Finished Goods,Lamp
CN-15682,05-Dec-23,Janine Loader,,C207-AU,TRAY MOULDED 4 W/AU PLUG (TYPE I),C207,AUD,Online (Shopify),-1,-351.82,-35.18,-387.00,-387.00,-35.18,-351.82,Finished Goods,Non - Lamp
CN-15684,05-Dec-23,Sandra Baduel,,DISC,DISCOUNT,,EUR,Online (Shopify),-1,40.95,0.00,40.95,66.75,0.00,66.75,Service,Non - Lamp
CN-15684,05-Dec-23,Sandra Baduel,,Shipping - Standard International,Shipping - Standard International,,EUR,Online (Shopify),-1,-40.95,0.00,-40.95,-66.75,0.00,-66.75,Service,Non - Lamp
CN-15684,05-Dec-23,Sandra Baduel,,SVCPUBR,SET VICTORIA BRASS PLEATED SILK SHADE UNO,C029,EUR,Online (Shopify),-2,-997.90,0.00,-997.90,"-1,626.56",0.00,"-1,626.56",Finished Goods,Lamp
CN-15685,07-Dec-23,D&D London,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Andy Elysee,-1,-768.00,0.00,-768.00,-768.00,0.00,-768.00,Freight,Non - Lamp
CN-15685,07-Dec-23,D&D London,,P-UNI-8-E-120W,PARTS CHARGER 120W,,AUD,Andy Elysee,-2,0.00,0.00,0.00,0.00,0.00,0.00,Parts,Non - Lamp
CN-15685,07-Dec-23,D&D London,,SA-VC7-BR-02,VICTORIA BRASS UNLACQUERED BODY SUB ASSEMBLY,,AUD,Andy Elysee,-61,"-8,432.64",0.00,"-8,432.64","-8,432.64",0.00,"-8,432.64",Sub Assembly,Non - Lamp
CN-15685,07-Dec-23,D&D London,,SA-VCS-7-WH-01,VICTORIA COTTON SHADE SUB ASSEMBLY,,AUD,Andy Elysee,-61,"-3,708.72",0.00,"-3,708.72","-3,708.72",0.00,"-3,708.72",Sub Assembly,Non - Lamp
CN-15686,18-Dec-23,Etc Venues,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,-288.00,0.00,-288.00,-288.00,0.00,-288.00,Freight,Non - Lamp
CN-15686,18-Dec-23,Etc Venues,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mandy Bishop,-2,-32.00,0.00,-32.00,-32.00,0.00,-32.00,Parts,Non - Lamp
CN-15686,18-Dec-23,Etc Venues,,SA-CO2C-7-BR-01,COOEE 2C BRASS TOP SUB ASSEMBLY,,AUD,Mandy Bishop,-1,-27.00,0.00,-27.00,-27.00,0.00,-27.00,Sub Assembly,Non - Lamp
CN-15686,18-Dec-23,Etc Venues,,SA-IS100-5-CL-01,ICE SQUARE 100 DIFFUSER  SUB ASSEMBLY,,AUD,Mandy Bishop,-4,-212.00,0.00,-212.00,-212.00,0.00,-212.00,Sub Assembly,Non - Lamp
CN-15686,18-Dec-23,Etc Venues,,SP-UNI-3-E-PRO,SPARE PARTS BATTERY V4 6 CELLS PRO,,AUD,Mandy Bishop,-9,-855.00,0.00,-855.00,-855.00,0.00,-855.00,Spare Parts,Non - Lamp
CN-15687,18-Dec-23,SAS CARRE DESIGN,,CTPUAB,LAMP TALL POPPY SATIN BRONZE,CL038UBZ,USD,Mandy Bishop,-20,"-4,511.40",0.00,"-4,511.40","-6,672.59",0.00,"-6,672.59",Finished Goods,Lamp
CN-15687,18-Dec-23,SAS CARRE DESIGN,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Mandy Bishop,-1,-414.00,0.00,-414.00,-612.33,0.00,-612.33,Freight,Non - Lamp
CN-15688,18-Dec-23,Shangri-La's Barr Al Jissah Resort & Spa,,CCO3CUSB,LAMP COOEE 3C SANDBLASTED BRONZE UNO,CL035UAB,AUD,Mandy Bishop,-30,"-6,060.00",0.00,"-6,060.00","-6,060.00",0.00,"-6,060.00",Finished Goods,Lamp
CN-15688,18-Dec-23,Shangri-La's Barr Al Jissah Resort & Spa,,CoO,CERTIFICATE OF ORIGIN,,AUD,Mandy Bishop,-1,-125.00,0.00,-125.00,-125.00,0.00,-125.00,Other,Non - Lamp
CN-15688,18-Dec-23,Shangri-La's Barr Al Jissah Resort & Spa,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,-790.00,0.00,-790.00,-790.00,0.00,-790.00,Freight,Non - Lamp
CN-15689,04-Jan-24,GreenChance Inc.,,CVCPUAB,LAMP VICTORIA AGED BRASS PLEATED SILK SHADE UNO,,USD,Bim Blake,-127,"-1,821.75",0.00,"-1,821.75","-2,694.79",0.00,"-2,694.79",Finished Goods,Lamp
CN-15690,08-Jan-24,Hoi An South Development Ltd. (Tax code: 4000789705),,C204-US,TROLLEY SMALL MOULDED 24 W/US PLUG,C203,USD,Andy Elysee,-1,"-1,259.98",0.00,"-1,259.98","-1,926.55",0.00,"-1,926.55",Finished Goods,Non - Lamp
CN-15690,08-Jan-24,Hoi An South Development Ltd. (Tax code: 4000789705),,CAPEXUBR,LAMP APEX BRASS UNO,,USD,Andy Elysee,-24,"-6,412.32",0.00,"-6,412.32","-9,804.63",0.00,"-9,804.63",Finished Goods,Lamp
CN-15690,08-Jan-24,Hoi An South Development Ltd. (Tax code: 4000789705),,CoO,CERTIFICATE OF ORIGIN,,USD,Andy Elysee,-1,-95.00,0.00,-95.00,-145.26,0.00,-145.26,Other,Non - Lamp
CN-15690,08-Jan-24,Hoi An South Development Ltd. (Tax code: 4000789705),,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,USD,Andy Elysee,-1,-160.60,0.00,-160.60,-245.56,0.00,-245.56,Other,Non - Lamp
CN-15690,08-Jan-24,Hoi An South Development Ltd. (Tax code: 4000789705),,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Andy Elysee,-1,-581.17,0.00,-581.17,-888.63,0.00,-888.63,Freight,Non - Lamp
CN-15691,09-Jan-24,Impression Projects,,C207-AU,TRAY MOULDED 4 W/AU PLUG (TYPE I),C207,AUD,Bim Blake,-3,-849.00,-84.90,-933.90,-933.90,-84.90,-849.00,Finished Goods,Non - Lamp
CN-15691,09-Jan-24,Impression Projects,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Bim Blake,-1,-64.00,-6.40,-70.40,-70.40,-6.40,-64.00,Other,Non - Lamp
CN-15693,11-Jan-24,Hyatt Singapore ,,CIR100UWH,LAMP ICE ROUND 100 UNO,CL004U,AUD,Andy Elysee,-1,-226.00,0.00,-226.00,-226.00,0.00,-226.00,Finished Goods,Lamp
CN-15693,11-Jan-24,Hyatt Singapore ,,CIS100UWH,LAMP ICE SQUARE 100 UNO,CL005U,AUD,Andy Elysee,-1,-226.00,0.00,-226.00,-226.00,0.00,-226.00,Finished Goods,Lamp
CN-15693,11-Jan-24,Hyatt Singapore ,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Andy Elysee,-1,-109.20,0.00,-109.20,-109.20,0.00,-109.20,Freight,Non - Lamp
CN-15694,12-Jan-24,Stefan Plüss,08-Dec-2023,SCO2CUCP,SET COOEE 2C COPPER UNO,C033UC,AUD,Online (Shopify),-1,-370.91,-37.09,-408.00,-408.00,-37.09,-370.91,Finished Goods,Lamp
CN-15695,16-Jan-24,Collier Webb,,DAP,"INTERNATIONAL AIR FREIGHT - (DAP) - Door to door Delivery (DHL) including packing, Insurance and Handling",,AUD,Mitch Kerr,-1,-228.00,0.00,-228.00,-228.00,0.00,-228.00,Freight,Non - Lamp
CN-15695,16-Jan-24,Collier Webb,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mitch Kerr,-40,-768.00,0.00,-768.00,-768.00,0.00,-768.00,Parts,Non - Lamp
CN-15695,16-Jan-24,Collier Webb,,SA-UNI-1-E-V4566B-ASS,SPARE V4.5 66 LAMP CONTROL BLACK UNO (INCL. BATTERY),,AUD,Mitch Kerr,-40,"-6,752.00",0.00,"-6,752.00","-6,752.00",0.00,"-6,752.00",Spare Parts,Non - Lamp
CN-15696,17-Jan-24,Hotelity,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Bim Blake,-1,"-2,378.00",0.00,"-2,378.00","-2,378.00",0.00,"-2,378.00",Freight,Non - Lamp
CN-15697,18-Jan-24,Sources Unlimited,04-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,-2,-15.28,0.00,-15.28,-15.28,0.00,-15.28,Freight,Non - Lamp
CN-15697,18-Jan-24,Sources Unlimited,04-Dec-2023,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mitch Kerr,-10,-134.40,0.00,-134.40,-134.40,0.00,-134.40,Parts,Non - Lamp
CN-15697,18-Jan-24,Sources Unlimited,04-Dec-2023,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Mitch Kerr,-1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15698,24-Jan-24,Matt Tucker,28-Dec-2023,NIL,REFUND,,AUD,Online (Shopify),-1,376.00,0.00,376.00,376.00,0.00,376.00,Other,Non - Lamp
CN-15698,24-Jan-24,Matt Tucker,28-Dec-2023,SCO3CUCP,SET COOEE 3C COPPER UNO,C035UC,AUD,Online (Shopify),-1,-370.91,-37.09,-408.00,-408.00,-37.09,-370.91,Finished Goods,Lamp
CN-15699,31-Jan-24,SHG Facilities Management LLC,,DAP,"INTERNATIONAL AIR FREIGHT - (DAP) - Door to door Delivery (DHL) including packing, Insurance and Handling",,AUD,Mitch Kerr,-1,-687.00,0.00,-687.00,-687.00,0.00,-687.00,Freight,Non - Lamp
CN-15699,31-Jan-24,SHG Facilities Management LLC,,SA-BL-4-G-003,GREEN GLASS SHADE FOR BELLINGEN/VICTORIA SUB ASSEMBLY,,AUD,Mitch Kerr,-100,"-7,263.36",0.00,"-7,263.36","-7,263.36",0.00,"-7,263.36",Sub Assembly,Non - Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,C203-US,TRAY MOULDED 12 W/US PLUG (TYPE A),C203,USD,Bim Blake,-3,-954.84,0.00,-954.84,"-1,447.80",0.00,"-1,447.80",Finished Goods,Non - Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,CGEM1PAM,LAMP GEM 1 AMBER PRO,,USD,Bim Blake,-1,-319.01,0.00,-319.01,-483.71,0.00,-483.71,Finished Goods,Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,CRUBR,LAMP RITZ BRASS UNO,CL021U,USD,Bim Blake,-8,"-3,165.28",0.00,"-3,165.28","-4,799.42",0.00,"-4,799.42",Finished Goods,Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Bim Blake,-1,-330.00,0.00,-330.00,-500.37,0.00,-500.37,Freight,Non - Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,P-UNI-3-E-1W12VWC,PARTS LED 1W 12V WARM FOR PRO & ECO (1800K),,USD,Bim Blake,-20,-210.20,0.00,-210.20,-318.72,0.00,-318.72,Parts,Non - Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,USD,Bim Blake,-50,-525.50,0.00,-525.50,-796.80,0.00,-796.80,Parts,Non - Lamp
CN-15700,05-Feb-24,GreenChance Inc.,,SA-UNI-1-E-V4566B-ASS,SPARE V4.5 66 LAMP CONTROL BLACK UNO (INCL. BATTERY),,USD,Bim Blake,-4,-369.68,0.00,-369.68,-560.53,0.00,-560.53,Spare Parts,Non - Lamp
CN-15701,06-Feb-24,Park Hyatt Melbourne,01-Dec-2023,SA-UNI-1-E-V4566B-ASS,SPARE V4.5 66 LAMP CONTROL BLACK UNO (INCL. BATTERY),,AUD,Mitch Kerr,-40,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
CN-15702,07-Feb-24,Matters and Made,,C206-AU,TROLLEY MEDIUM MOULDED 36 W/AU PLUG,C205,AUD,Mitch Kerr,-1,"-2,486.00",-248.60,"-2,734.60","-2,734.60",-248.60,"-2,486.00",Finished Goods,Non - Lamp
CN-15702,07-Feb-24,Matters and Made,,CCO1CUSBK,LAMP COOEE 1C SANDBLASTED BLACK UNO,CL031UBK,AUD,Mitch Kerr,-64,"-14,272.00","-1,427.20","-15,699.20","-15,699.20","-1,427.20","-14,272.00",Finished Goods,Lamp
CN-15702,07-Feb-24,Matters and Made,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,-1,-149.56,-14.96,-164.52,-164.52,-14.96,-149.56,Other,Non - Lamp
CN-15703,07-Feb-24,Steve Marchalleck,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Online (Shopify),-1,0.00,0.00,0.00,0.00,0.00,0.00,Other,Non - Lamp
CN-15703,07-Feb-24,Steve Marchalleck,,STPUBL,SET TALL POPPY SATIN BLACK,C038UBK,AUD,Online (Shopify),-2,"-1,205.45",-120.55,"-1,326.00","-1,326.00",-120.55,"-1,205.45",Finished Goods,Lamp
CN-15704,07-Feb-24,Rockpool Bar & Grill Sydney,24-Oct-2023,CMLPWH,LAMP MAGILL STAINLESS STEEL PRO,,AUD,Mitch Kerr,-10,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
